,year,co2,gdp
2160,1987,2.724,20217436160.0
2161,1988,2.906,20903190528.0
2162,1989,2.933,22103439360.0
2163,1990,2.913,22906634240.0
2164,1991,3.288,23389726720.0
2165,1992,3.742,25502582784.0
2166,1993,3.891,27271077888.0
2167,1994,5.2,28453398528.0
2168,1995,4.801,29581651968.0
2169,1996,4.686,29906411520.0
2170,1997,4.916,31522734080.0
2171,1998,5.234,33667012608.0
2172,1999,5.438,34945409024.0
2173,2000,5.394,36231462912.0
2174,2001,5.667,37440827392.0
2175,2002,6.245,38616899584.0
2176,2003,6.583,40200847360.0
2177,2004,6.842,41880821760.0
2178,2005,6.723,43440771072.0
2179,2006,7.007,46517063680.0
2180,2007,7.961,50239516672.0
2181,2008,7.99,52501716992.0
2182,2009,7.748,51914768384.0
2183,2010,7.493,54407368704.0
2184,2011,7.311,56666828800.0
2185,2012,7.26,59384729600.0
2186,2013,7.632,60731088896.0
2187,2014,7.748,62954872832.0
2188,2015,7.406,65928048640.0
2189,2016,8.003,68781793280.0
2190,2017,8.198,71436771328.0
2191,2018,8.229,73336987648.0
2192,1952,2.724,10629542912.0
2193,1953,2.71,11531914240.0
2194,1954,3.233,12547183616.0
2195,1955,3.702,14829266944.0
2196,1956,4.236,14161347584.0
2197,1957,4.596,16775190528.0
2198,1958,4.531,17157264384.0
2199,1959,5.195,18655727616.0
2200,1960,5.677,20451145728.0
2201,1961,5.952,21915613184.0
2202,1962,6.108,22457751552.0
2203,1963,6.796,24832847872.0
2204,1964,7.704,27112427520.0
2205,1965,7.933,27862663168.0
2206,1966,7.863,29855481856.0
2207,1967,7.949,30815170560.0
2208,1968,8.503,32123985920.0
2209,1969,8.817,34482323456.0
2210,1970,11.53,36801359872.0
2211,1971,12.42,39688192000.0
2212,1972,11.628,40693960704.0
2213,1973,13.905,42215366656.0
2214,1974,13.96,45795434496.0
2215,1975,14.561,47030513664.0
2216,1976,15.025,49159700480.0
2217,1977,14.605,53486764032.0
2218,1978,16.326,57692696576.0
2219,1979,17.761,61292445696.0
2220,1980,17.459,62207918080.0
2221,1981,18.978,62270738432.0
2222,1982,17.431,62329995264.0
2223,1983,18.77,61328654336.0
2224,1984,19.796,62647910400.0
2225,1985,20.195,62708912128.0
2226,1986,21.095,64464777216.0
2227,1987,20.591,64403660800.0
2228,1988,21.253,63841656832.0
2229,1989,21.186,62834999296.0
2230,1990,22.98,58374078464.0
2231,1991,16.988,45560401920.0
2232,1992,16.373,40296484864.0
2233,1993,16.809,37941878784.0
2234,1994,16.054,41058422784.0
2235,1995,16.818,44384567296.0
2236,1996,17.345,47434641408.0
2237,1997,18.559,51344322560.0
2238,1998,19.013,53359112192.0
2239,1999,20.025,53571235840.0
2240,2000,19.662,54951510016.0
2241,2001,20.785,56076091392.0
2242,2002,21.889,59660337152.0
2243,2003,23.215,63955259392.0
2244,2004,22.888,67606573056.0
2245,2005,23.344,71536394240.0
2246,2006,23.55,76142043136.0
2247,2007,24.863,81332862976.0
2248,2008,23.595,84280721408.0
2249,2009,21.804,79251070976.0
2250,2010,21.016,79107170304.0
2251,2011,20.65,80079052800.0
2252,2012,19.087,78321270784.0
2253,2013,18.432,77479518208.0
2254,2014,17.682,77088243712.0
2255,2015,17.825,78221434880.0
2256,2016,18.109,80230187008.0
2257,2017,18.744,82748776448.0
2258,2018,17.724,84978688000.0
2259,1941,0.076,10187729920.0
2260,1942,0.084,10339391488.0
2261,1943,0.084,9887751168.0
2262,1944,0.087,11031475200.0
2263,1945,0.109,11220299776.0
2264,1946,0.167,12118795264.0
2265,1947,0.189,13189120000.0
2266,1948,0.182,13206876160.0
2267,1949,0.182,13368051712.0
2268,1950,5.605,15260829696.0
2269,1951,6.469,15696287744.0
2270,1952,6.282,17086751744.0
2271,1953,6.191,16002819072.0
2272,1954,5.949,16329194496.0
2273,1955,6.777,16833078272.0
2274,1956,5.842,17845620736.0
2275,1957,13.866,19405002752.0
2276,1958,17.995,19761485824.0
2277,1959,15.665,20744404992.0
2278,1960,13.687,21038837760.0
2279,1961,12.168,21887111168.0
2280,1962,14.155,21573396480.0
2281,1963,13.026,21933570048.0
2282,1964,14.279,24038696960.0
2283,1965,14.594,24117280768.0
2284,1966,15.169,25432225792.0
2285,1967,15.737,28396969984.0
2286,1968,16.02,26749036544.0
2287,1969,17.243,26416676864.0
2288,1970,18.654,25423968256.0
2289,1971,19.589,27402708992.0
2290,1972,20.777,28723990528.0
2291,1973,22.375,31374000128.0
2292,1974,22.888,33025959936.0
2293,1975,27.039,34668371968.0
2294,1976,27.197,35656548352.0
2295,1977,29.374,37306540032.0
2296,1978,30.661,39617818624.0
2297,1979,31.685,40596013056.0
2298,1980,31.374,39614689280.0
2299,1981,32.723,42900520960.0
2300,1982,34.527,43936702464.0
2301,1983,30.821,46518333440.0
2302,1984,32.581,50424131584.0
2303,1985,32.556,51630080000.0
2304,1986,33.547,51678724096.0
2305,1987,33.933,50233470976.0
2306,1988,35.616,51847708672.0
2307,1989,35.719,52350599168.0
2308,1990,29.648,49943662592.0
2309,1991,27.17,42598297600.0
2310,1992,20.593,36651618304.0
2311,1993,19.823,28833505280.0
2312,1994,21.382,29226991616.0
2313,1995,22.835,31242330112.0
2314,1996,23.333,35625750528.0
2315,1997,24.809,37729136640.0
2316,1998,24.294,37789593600.0
2317,1999,24.467,40250896384.0
2318,2000,25.775,44692111360.0
2319,2001,25.216,47301967872.0
2320,2002,25.524,48976941056.0
2321,2003,25.943,50659545088.0
2322,2004,25.221,51357048832.0
2323,2005,24.442,53114044416.0
2324,2006,24.693,61018247168.0
2325,2007,24.24,63463485440.0
2326,2008,28.108,67603095552.0
2327,2009,28.396,70355910656.0
2328,2010,34.2,74083581952.0
2329,2011,29.431,78036992000.0
2330,2012,29.839,80388153344.0
2331,2013,28.125,83013746688.0
2332,2014,27.608,85723463680.0
2333,2015,29.469,88467243008.0
2334,2016,28.259,89440002048.0
2335,2017,25.219,90759331840.0
2336,2018,22.631,92551012352.0
2337,1950,0.267,1425190016.0
2338,1951,0.282,1396563968.0
2339,1952,0.315,1532636032.0
2340,1953,0.366,1686109952.0
2341,1954,0.443,1719101056.0
2342,1955,0.451,1780800000.0
2343,1956,0.674,1976768000.0
2344,1957,0.817,2101008000.0
2345,1958,0.765,2042279936.0
2346,1959,0.831,2162537984.0
2347,1960,0.886,2003207936.0
2348,1961,0.864,2225101568.0
2349,1962,0.905,2425536000.0
2350,1963,0.985,2575512832.0
2351,1964,1.0,2328991488.0
2352,1965,1.15,2850609920.0
2353,1966,1.242,3024385024.0
2354,1967,1.362,3435760896.0
2355,1968,1.622,3593772032.0
2356,1969,1.67,3928192512.0
2357,1970,1.703,4050213888.0
2358,1971,1.884,4575363584.0
2359,1972,2.406,4890776576.0
2360,1973,2.504,5016050688.0
2361,1974,1.929,4166472192.0
2362,1975,1.991,3374843904.0
2363,1976,2.488,3981887232.0
2364,1977,2.699,4610073600.0
2365,1978,2.845,4962457088.0
2366,1979,3.045,5452556288.0
2367,1980,3.261,5774560768.0
2368,1981,3.096,5950994944.0
2369,1982,3.157,6324783104.0
2370,1983,3.151,6661699072.0
2371,1984,3.235,7250066944.0
2372,1985,3.145,7589592576.0
2373,1986,3.606,7878649856.0
2374,1987,4.185,8435044864.0
2375,1988,4.198,9131655168.0
2376,1989,4.43,9870456832.0
2377,1990,4.653,10601790464.0
2378,1991,5.143,10779906048.0
2379,1992,5.517,11898679296.0
2380,1993,5.761,12093020160.0
2381,1994,6.002,12925316096.0
2382,1995,5.874,14339872768.0
2383,1996,6.224,14666458112.0
2384,1997,6.312,15182803968.0
2385,1998,6.609,16126405632.0
2386,1999,6.876,17062067200.0
2387,2000,7.122,18206158848.0
2388,2001,6.997,19037272064.0
2389,2002,7.186,19867287552.0
2390,2003,7.577,20548239360.0
2391,2004,7.803,21687285760.0
2392,2005,7.958,22703857664.0
2393,2006,8.185,23948568576.0
2394,2007,8.505,25336385536.0
2395,2008,8.717,26560141312.0
2396,2009,8.472,26331576320.0
2397,2010,8.103,26927026176.0
2398,2011,7.789,27264894976.0
2399,2012,7.264,26403463168.0
2400,2013,6.584,24831176704.0
2401,2014,6.952,24451190784.0
2402,2015,6.973,24862126080.0
2403,2016,7.375,25590757376.0
2404,2017,7.525,26706794496.0
2405,2018,7.343,27790155776.0
2406,1970,154.42,85688639488.0
2407,1971,161.977,90161725440.0
2408,1972,163.451,94933131264.0
2409,1973,164.108,99378511872.0
2410,1974,166.0,104186945536.0
2411,1975,173.668,110000275456.0
2412,1976,180.411,114359902208.0
2413,1977,185.792,118223716352.0
2414,1978,187.464,123116437504.0
2415,1979,182.557,124798623744.0
2416,1980,184.677,126921728000.0
2417,1981,182.648,126726004736.0
2418,1982,180.846,124767551488.0
2419,1983,181.076,126785028096.0
2420,1984,187.168,129617870848.0
2421,1985,184.6,132537131008.0
2422,1986,185.854,136190033920.0
2423,1987,183.641,139350917120.0
2424,1988,180.617,142237368320.0
2425,1989,172.331,144679288832.0
2426,1990,164.211,146168283136.0
2427,1991,148.879,130869280768.0
2428,1992,145.711,131887431680.0
2429,1993,140.129,133712371712.0
2430,1994,132.673,139362828288.0
2431,1995,131.627,149915926528.0
2432,1996,135.004,158347427840.0
2433,1997,130.834,159287115776.0
2434,1998,125.427,160811499520.0
2435,1999,116.57,165213880320.0
2436,2000,127.156,174508441600.0
2437,2001,127.03,182134898688.0
2438,2002,123.947,187506016256.0
2439,2003,127.479,196738662400.0
2440,2004,128.248,209118199808.0
2441,2005,125.689,225438384128.0
2442,2006,126.566,244024344576.0
2443,2007,128.37,260810031104.0
2444,2008,122.912,271304294400.0
2445,2009,115.013,261474025472.0
2446,2010,117.482,270895333376.0
2447,2011,115.186,279860772864.0
2448,2012,111.281,277620523008.0
2449,2013,106.711,276285980672.0
2450,2014,104.229,283780743168.0
2451,2015,104.996,296649588736.0
2452,2016,106.656,303850717184.0
2453,2017,107.748,317076144128.0
2454,2018,106.338,326100320256.0
2455,1928,12.557,26671618048.0
2456,1929,15.125,28457101312.0
2457,1930,13.806,30153046016.0
2458,1931,14.321,30486398976.0
2459,1932,13.427,29685116928.0
2460,1933,13.371,30640721920.0
2461,1934,14.642,31567925248.0
2462,1935,15.25,32275824640.0
2463,1936,15.778,33073692672.0
2464,1937,16.295,33872214016.0
2465,1938,14.631,34691743744.0
2466,1939,16.302,36349165568.0
2467,1940,14.823,31249960960.0
2468,1941,17.399,28165132288.0
2469,1942,16.472,28800237568.0
2470,1943,20.622,31975053312.0
2471,1944,20.281,35322331136.0
2472,1945,14.043,32663375872.0
2473,1946,17.644,37762007040.0
2474,1947,21.454,39884521472.0
2475,1948,17.071,40961441792.0
2476,1949,16.88,43784728576.0
2477,1950,21.988,47267155968.0
2478,1951,21.921,47580823552.0
2479,1952,22.899,48046723072.0
2480,1953,23.151,50784141312.0
2481,1954,25.577,51766095872.0
2482,1955,27.065,52326932480.0
2483,1956,26.372,52963414016.0
2484,1957,24.9,56977502208.0
2485,1958,26.791,58258747392.0
2486,1959,26.034,62593536000.0
2487,1960,29.75,64344727552.0
2488,1961,31.702,68423512064.0
2489,1962,36.89,72198873088.0
2490,1963,40.668,72656363520.0
2491,1964,43.147,79449915392.0
2492,1965,44.293,83071664128.0
2493,1966,50.078,85342724096.0
2494,1967,49.026,88211324928.0
2495,1968,53.273,91836219392.0
2496,1969,59.343,97686585344.0
2497,1970,62.039,99664396288.0
2498,1971,57.01,102324764672.0
2499,1972,59.594,107713650688.0
2500,1973,59.222,111625928704.0
2501,1974,55.042,110587863040.0
2502,1975,55.745,109859700736.0
2503,1976,60.103,116968988672.0
2504,1977,61.818,118865469440.0
2505,1978,61.096,120623562752.0
2506,1979,62.978,124895969280.0
2507,1980,60.348,124346114048.0
2508,1981,51.773,123240390656.0
2509,1982,53.684,126957510656.0
2510,1983,50.168,130158862336.0
2511,1984,50.856,135871946752.0
2512,1985,60.065,141700382720.0
2513,1986,58.907,146862030848.0
2514,1987,58.346,147289145344.0
2515,1988,55.112,149007302656.0
2516,1989,48.809,149399519232.0
2517,1990,53.585,151205740544.0
2518,1991,64.2,154193559552.0
2519,1992,58.391,158107713536.0
2520,1993,60.637,159029510144.0
2521,1994,64.698,168468807680.0
2522,1995,61.614,174565621760.0
2523,1996,74.869,180657864704.0
2524,1997,65.469,187612758016.0
2525,1998,61.238,192868466688.0
2526,1999,58.652,199692681216.0
2527,2000,54.306,208358719488.0
2528,2001,55.896,211275268096.0
2529,2002,55.554,213475426304.0
2530,2003,60.645,215532699648.0
2531,2004,55.1,222551113728.0
2532,2005,51.535,229050957824.0
2533,2006,59.488,239379202048.0
2534,2007,54.709,242933465088.0
2535,2008,51.256,243073646592.0
2536,2009,48.851,232468676608.0
2537,2010,49.204,238176026624.0
2538,2011,44.248,242738380800.0
2539,2012,39.871,243290013696.0
2540,2013,41.773,245558509568.0
2541,2014,37.578,249673711616.0
2542,2015,35.228,253683007488.0
2543,2016,37.033,256821805056.0
2544,2017,34.78,262051119104.0
2545,2018,34.725,268317622272.0
2546,1950,0.011,273260992.0
2547,1951,0.026,288846016.0
2548,1952,0.026,297555008.0
2549,1953,0.029,312438016.0
2550,1954,0.033,329384000.0
2551,1955,0.037,338849984.0
2552,1956,0.029,354329984.0
2553,1957,0.044,369408000.0
2554,1958,0.048,387840000.0
2555,1959,0.037,418488000.0
2556,1960,0.04,453656992.0
2557,1961,0.044,481337984.0
2558,1962,0.048,499011008.0
2559,1963,0.066,527868000.0
2560,1964,0.084,547425024.0
2561,1965,0.121,574673984.0
2562,1966,0.139,605387008.0
2563,1967,0.088,636635008.0
2564,1968,0.121,660592000.0
2565,1969,0.084,691096000.0
2566,1970,0.139,859320000.0
2567,1971,0.161,911048000.0
2568,1972,0.191,943038976.0
2569,1973,0.18,989006016.0
2570,1974,0.194,953424000.0
2571,1975,0.198,1064857024.0
2572,1976,0.198,1156086016.0
2573,1977,0.198,1017072000.0
2574,1978,0.202,940225024.0
2575,1979,0.363,989091968.0
2576,1980,0.348,1035609024.0
2577,1981,0.3,1066395008.0
2578,1982,0.348,1083308032.0
2579,1983,0.348,1096310016.0
2580,1984,0.352,1104000000.0
2581,1985,0.359,1100160000.0
2582,1986,0.377,1088971008.0
2583,1987,0.388,1092029952.0
2584,1988,0.348,1105884032.0
2585,1989,0.388,1076711936.0
2586,2009,0.458,1828090880.0
2587,2010,0.517,1885010176.0
2588,2011,0.473,1960630016.0
2589,2012,0.487,2054195968.0
2590,2013,0.557,2157408000.0
2591,2014,0.388,2286629888.0
2592,2015,0.432,2435148032.0
2593,2016,0.38,2595207936.0
2594,2017,0.392,2741553152.0
2595,2018,0.385,2913438464.0
2596,1951,0.004,55432000.0
2597,1952,0.007,59413000.0
2598,1953,0.004,57942000.0
2599,1954,0.004,60390000.0
2600,1955,0.004,64410000.0
2601,1956,0.004,69774000.0
2602,1957,0.004,71862000.0
2603,1958,0.007,74399000.0
2604,1959,0.011,72334000.0
2605,1960,0.011,74700000.0
2606,1961,0.011,70560000.0
2607,1962,0.011,81313000.0
2608,1963,0.015,85064000.0
2609,1964,0.015,89397000.0
2610,1965,0.015,76992000.0
2611,1966,0.015,85995000.0
2612,1967,0.022,87450000.0
2613,1968,0.022,87584000.0
2614,1969,0.018,95772000.0
2615,1970,0.026,104440000.0
2616,1971,0.026,112038000.0
2617,1972,0.026,120528000.0
2618,1973,0.026,130889000.0
2619,1974,0.029,138262000.0
2620,1975,0.029,143560000.0
2621,1976,0.029,152884000.0
2622,1977,0.026,156658000.0
2623,1978,0.026,175010000.0
2624,1979,0.033,142968000.0
2625,1980,0.037,164206000.0
2626,1981,0.037,184926000.0
2627,1982,0.04,191808000.0
2628,1983,0.04,195656000.0
2629,1984,0.044,207348000.0
2630,1985,0.048,209656000.0
2631,1986,0.048,223704000.0
2632,1987,0.048,242640000.0
2633,1988,0.055,261776992.0
2634,1989,0.059,263694000.0
2635,1990,0.059,275729984.0
2636,1991,0.059,285879712.0
2637,1992,0.059,299018304.0
2638,1993,0.062,303787200.0
2639,1994,0.066,316614944.0
2640,1995,0.081,327078080.0
2641,1996,0.073,347533760.0
2642,1997,0.081,361956544.0
2643,1998,0.077,382388800.0
2644,1999,0.081,390881664.0
2645,2000,0.103,404483808.0
2646,2001,0.11,411786944.0
2647,2002,0.103,415538976.0
2648,2003,0.117,455180800.0
2649,2004,0.143,475394400.0
2650,2005,0.143,482222496.0
2651,2006,0.143,513632256.0
2652,2007,0.183,554311680.0
2653,2008,0.165,617146560.0
2654,2009,0.161,621365632.0
2655,2010,0.172,640098880.0
2656,2011,0.154,652912000.0
2657,2012,0.165,644078976.0
2658,2013,0.169,667585024.0
2659,2014,0.176,694011008.0
2660,2015,0.176,689606016.0
2661,2016,0.18,706700032.0
2662,2017,0.161,653398976.0
2663,2018,0.161,667810432.0
2664,1950,0.348,3851808512.0
2665,1951,0.359,4306042368.0
2666,1952,0.593,4653834240.0
2667,1953,0.619,4598365184.0
2668,1954,0.626,4859515904.0
2669,1955,0.915,5162466816.0
2670,1956,0.985,5678190080.0
2671,1957,1.032,6039302144.0
2672,1958,1.065,6359859712.0
2673,1959,1.113,6398414336.0
2674,1960,1.04,6705337344.0
2675,1961,1.029,6560854016.0
2676,1962,1.241,7673530368.0
2677,1963,1.249,8177076224.0
2678,1964,1.747,8719757312.0
2679,1965,1.545,7638403072.0
2680,1966,1.67,8661626880.0
2681,1967,1.567,8952662016.0
2682,1968,2.347,8972655616.0
2683,1969,2.651,9954476032.0
2684,1970,3.105,11003814912.0
2685,1971,3.519,12176796672.0
2686,1972,4.669,13677650944.0
2687,1973,5.959,15328489472.0
2688,1974,6.41,16217202688.0
2689,1975,6.333,16988198912.0
2690,1976,6.322,18135248896.0
2691,1977,5.599,19015841792.0
2692,1978,5.43,19460376576.0
2693,1979,6.786,20296722432.0
2694,1980,6.427,21539809280.0
2695,1981,6.135,22427979776.0
2696,1982,6.303,22837393408.0
2697,1983,7.866,23843930112.0
2698,1984,7.39,23906859008.0
2699,1985,7.242,23302486016.0
2700,1986,8.121,23995594752.0
2701,1987,9.687,25809188864.0
2702,1988,9.74,25978978304.0
2703,1989,10.258,29288298496.0
2704,1990,8.936,27899936768.0
2705,1991,9.538,28624482304.0
2706,1992,10.418,30699632640.0
2707,1993,11.209,33455892480.0
2708,1994,11.796,34777866240.0
2709,1995,15.107,37276688384.0
2710,1996,16.484,40578793472.0
2711,1997,17.266,44531093504.0
2712,1998,17.788,48409989120.0
2713,1999,17.821,52484542464.0
2714,2000,18.992,56344829952.0
2715,2001,19.145,58288340992.0
2716,2002,20.949,62670835712.0
2717,2003,21.345,63562706944.0
2718,2004,17.333,65495216128.0
2719,2005,17.941,72784388096.0
2720,2006,19.112,81940078592.0
2721,2007,19.993,90411704320.0
2722,2008,20.332,94906286080.0
2723,2009,19.781,97411112960.0
2724,2010,20.553,107260354560.0
2725,2011,21.318,112432726016.0
2726,2012,21.255,115425804288.0
2727,2013,21.267,120732909568.0
2728,2014,21.801,129713741824.0
2729,2015,23.495,138611523584.0
2730,2016,24.645,147459375104.0
2731,2017,24.017,154422411264.0
2732,2018,25.756,165255135232.0
2733,1917,0.026,2791854080.0
2734,1918,0.026,2842400000.0
2735,1919,0.026,2921777920.0
2736,1920,0.026,3007200000.0
2737,1921,0.026,3061280000.0
2738,1922,0.026,3119480064.0
2739,1923,0.037,3176385024.0
2740,1924,0.044,3235650048.0
2741,1925,0.07,3291725056.0
2742,1926,0.092,3355704064.0
2743,1927,0.234,3481056000.0
2744,1928,0.473,3617504000.0
2745,1929,0.601,3755744000.0
2746,1930,0.678,3827736064.0
2747,1931,0.766,3848355072.0
2748,1932,0.711,3874500096.0
2749,1933,0.725,3959549952.0
2750,1934,0.733,4044600064.0
2751,1935,0.784,4150439936.0
2752,1936,0.876,4291091968.0
2753,1937,0.975,4428246016.0
2754,1938,1.03,4587539968.0
2755,1939,1.07,4744403968.0
2756,1940,1.088,5055300096.0
2757,1941,0.729,5122656256.0
2758,1942,1.051,5294199808.0
2759,1943,1.055,5966019072.0
2760,1944,1.326,6047759872.0
2761,1945,1.227,6068142080.0
2762,1946,1.103,6792992768.0
2763,1947,1.158,7548455936.0
2764,1948,1.286,8580347904.0
2765,1949,1.301,8737760256.0
2766,1950,0.74,10008766464.0
2767,1951,0.703,10114922496.0
2768,1952,0.894,11363106816.0
2769,1953,0.82,11601652736.0
2770,1954,0.963,12537337856.0
2771,1955,1.198,12868194304.0
2772,1956,1.296,13350172672.0
2773,1957,1.132,13948668928.0
2774,1958,1.322,14357383168.0
2775,1959,1.293,15122957312.0
2776,1960,1.762,16113823744.0
2777,1961,1.644,16516333568.0
2778,1962,1.564,17397223424.0
2779,1963,1.794,17832787968.0
2780,1964,2.142,19090890752.0
2781,1965,2.274,20931717120.0
2782,1966,2.417,21480730624.0
2783,1967,2.589,22615181312.0
2784,1968,3.113,23865288704.0
2785,1969,3.589,25174071296.0
2786,1970,4.278,26934480896.0
2787,1971,4.219,28491929600.0
2788,1972,4.589,30239823872.0
2789,1973,5.256,34007408640.0
2790,1974,6.084,35996917760.0
2791,1975,7.355,37890543616.0
2792,1976,8.101,41566183424.0
2793,1977,7.472,44204552192.0
2794,1978,10.406,47288274944.0
2795,1979,12.14,49857552384.0
2796,1980,13.407,52132724736.0
2797,1981,16.653,54252142592.0
2798,1982,19.235,54863245312.0
2799,1983,19.503,53726523392.0
2800,1984,21.19,55920451584.0
2801,1985,19.353,58293686272.0
2802,1986,15.194,60010586112.0
2803,1987,15.022,56249614336.0
2804,1988,17.169,62261231616.0
2805,1989,20.154,62369320960.0
2806,1990,16.458,64188502016.0
2807,1991,16.157,67933605888.0
2808,1992,21.96,70873808896.0
2809,1993,24.089,72804343808.0
2810,1994,13.54,76428115968.0
2811,1995,22.686,78692040704.0
2812,1996,24.025,80612106240.0
2813,1997,18.206,84682932224.0
2814,1998,22.313,88055963648.0
2815,1999,21.364,84464762880.0
2816,2000,20.562,85978873856.0
2817,2001,22.94,90060685312.0
2818,2002,24.753,94405017600.0
2819,2003,26.747,97644568576.0
2820,2004,28.786,106398015488.0
2821,2005,29.97,112806723584.0
2822,2006,29.092,118595035136.0
2823,2007,33.686,122035339264.0
2824,2008,29.573,130681241600.0
2825,2009,32.503,132343726080.0
2826,2010,34.826,137955147776.0
2827,2011,37.398,149848326144.0
2828,2012,37.409,158295818240.0
2829,2013,39.655,166128254976.0
2830,2014,43.731,172762087424.0
2831,2015,41.276,173044858880.0
2832,2016,40.178,169282355200.0
2833,2017,40.076,173290962944.0
2834,2018,38.245,175524675584.0
2835,1950,10.233,30757265408.0
2836,1951,10.559,31319511040.0
2837,1952,10.893,31890448384.0
2838,1953,10.779,32425277440.0
2839,1954,11.664,33014046720.0
2840,1955,10.642,33660147712.0
2841,1956,9.942,35246452736.0
2842,1957,11.917,36864356352.0
2843,1958,13.683,38667513856.0
2844,1959,12.707,40509591552.0
2845,1960,16.033,42417643520.0
2846,1961,17.066,45220061184.0
2847,1962,18.571,48232706048.0
2848,1963,21.527,51444887552.0
2849,1964,25.491,54901977088.0
2850,1965,27.609,58532794368.0
2851,1966,26.532,58874122240.0
2852,1967,19.65,58134978560.0
2853,1968,22.873,59081302016.0
2854,1969,19.665,63097380864.0
2855,1970,21.654,67114479616.0
2856,1971,23.012,69906251776.0
2857,1972,25.475,71250780160.0
2858,1973,23.761,73196093440.0
2859,1974,26.089,76018040832.0
2860,1975,31.06,83697410048.0
2861,1976,34.45,96606691328.0
2862,1977,37.815,109254139904.0
2863,1978,39.261,117620137984.0
2864,1979,42.89,126908743680.0
2865,1980,45.176,140607635456.0
2866,1981,50.903,146244911104.0
2867,1982,56.431,161850654720.0
2868,1983,56.98,174291288064.0
2869,1984,63.704,184976097280.0
2870,1985,63.807,197156323328.0
2871,1986,74.393,202297851904.0
2872,1987,74.614,207425830912.0
2873,1988,74.309,216114298880.0
2874,1989,71.905,222664802304.0
2875,1990,75.218,227979902976.0
2876,1991,77.296,241323327488.0
2877,1992,79.94,254191042560.0
2878,1993,92.278,269984907264.0
2879,1994,84.556,286215798784.0
2880,1995,94.89,305979195392.0
2881,1996,93.569,328668905472.0
2882,1997,107.513,354474459136.0
2883,1998,121.466,380472688640.0
2884,1999,124.496,409778257920.0
2885,2000,140.35,443940929536.0
2886,2001,124.294,475162705920.0
2887,2002,125.782,501186265088.0
2888,2003,146.463,527963291648.0
2889,2004,149.143,560813244416.0
2890,2005,165.044,599346511872.0
2891,2006,176.019,649072410624.0
2892,2007,185.907,711521730560.0
2893,2008,194.764,772704108544.0
2894,2009,203.17,828245147648.0
2895,2010,200.841,895092326400.0
2896,2011,213.027,919296081920.0
2897,2012,213.734,945768431616.0
2898,2013,211.419,971071815680.0
2899,2014,226.899,1018607042560.0
2900,2015,224.48,1058643968000.0
2901,2016,239.386,1104510713856.0
2902,2017,260.111,1159010320384.0
2903,2018,243.908,1221832605696.0
2904,1950,0.267,4607025152.0
2905,1951,0.322,4697814016.0
2906,1952,0.388,5049962496.0
2907,1953,0.418,5409458176.0
2908,1954,0.469,5474093056.0
2909,1955,0.461,5752750080.0
2910,1956,0.527,6208903680.0
2911,1957,0.597,6537358848.0
2912,1958,0.597,6679128064.0
2913,1959,0.604,6978779648.0
2914,1960,0.619,7261992960.0
2915,1961,0.582,7517508096.0
2916,1962,0.648,8413417472.0
2917,1963,1.125,8780534784.0
2918,1964,1.231,9596141568.0
2919,1965,1.04,10112822272.0
2920,1966,1.304,10836105216.0
2921,1967,1.157,11425164288.0
2922,1968,1.26,11795955712.0
2923,1969,1.19,12211503104.0
2924,1970,1.428,12570427392.0
2925,1971,1.509,13182820352.0
2926,1972,1.677,13906455552.0
2927,1973,1.967,14612159488.0
2928,1974,1.97,15542391808.0
2929,1975,2.105,16413573120.0
2930,1976,2.207,17058357248.0
2931,1977,2.282,18087909376.0
2932,1978,2.381,19247497216.0
2933,1979,2.377,18922278912.0
2934,1980,2.119,17280720896.0
2935,1981,1.819,15850661888.0
2936,1982,1.752,14958442496.0
2937,1983,1.885,15073953792.0
2938,1984,1.588,15421202432.0
2939,1985,1.965,15722767360.0
2940,1986,1.967,15830937600.0
2941,1987,2.414,16252802048.0
2942,1988,2.433,16515979264.0
2943,1989,2.547,16692308992.0
2944,1990,2.475,17260965888.0
2945,1991,3.155,18153449472.0
2946,1992,3.317,19825256448.0
2947,1993,3.976,21604952064.0
2948,1994,4.513,23258529792.0
2949,1995,4.998,25119266816.0
2950,1996,4.414,25931149312.0
2951,1997,5.416,27444885504.0
2952,1998,5.731,28907124736.0
2953,1999,5.588,30355224576.0
2954,2000,5.671,31478454272.0
2955,2001,5.857,32499939328.0
2956,2002,6.07,33751220224.0
2957,2003,6.435,35029540864.0
2958,2004,6.254,36185186304.0
2959,2005,6.298,38001442816.0
2960,2006,6.718,40054317056.0
2961,2007,6.846,42202460160.0
2962,2008,6.405,43393064960.0
2963,2009,6.312,42668179456.0
2964,2010,6.319,43862777856.0
2965,2011,6.499,45520506880.0
2966,2012,6.472,46608113664.0
2967,2013,6.094,48017379328.0
2968,2014,6.151,49026875392.0
2969,2015,6.668,50319724544.0
2970,2016,6.596,51736932352.0
2971,2017,5.97,53130547200.0
2972,2018,6.41,54756343808.0
2973,1950,0.011,168167008.0
2974,1951,0.011,176978000.0
2975,1952,0.011,183364992.0
2976,1953,0.011,190740000.0
2977,1954,0.029,200923008.0
2978,1955,0.037,206790000.0
2979,1956,0.037,215260000.0
2980,1957,0.033,223214000.0
2981,1958,0.048,230838000.0
2982,1959,0.048,243600000.0
2983,1960,0.022,268644000.0
2984,1961,0.022,295368000.0
2985,1962,0.022,326190016.0
2986,1963,0.026,371500000.0
2987,1964,0.026,425880000.0
2988,1965,0.029,480193984.0
